Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Steven Adams,C,26,OKC,56,56,27.0,4.6,7.7,.591,0.0,0.1,.333,4.6,7.7,.593,.592,1.8,3.1,.590,3.4,6.0,9.4,2.5,0.8,1.1,1.5,2.0,11.0
Bam Adebayo,PF,22,MIA,62,62,34.4,6.2,11.0,.565,0.0,0.2,.077,6.2,10.8,.575,.566,3.6,5.3,.690,2.5,8.0,10.5,5.0,1.2,1.3,2.8,2.4,16.1
LaMarcus Aldridge,C,34,SAS,52,52,33.0,7.3,14.8,.495,1.2,2.9,.392,6.2,11.9,.520,.534,3.0,3.6,.829,2.0,5.5,7.5,2.4,0.6,1.6,1.4,2.4,18.8
Nickeil Alexander-Walker,SG,21,NOP,41,0,12.2,1.9,5.5,.339,1.0,2.9,.342,0.9,2.7,.336,.427,0.4,0.7,.607,0.2,1.8,2.0,1.8,0.3,0.2,1.0,1.1,5.1
Grayson Allen,SG,24,MEM,30,0,16.6,2.6,5.9,.449,1.1,3.0,.363,1.5,2.8,.541,.543,1.0,1.2,.857,0.2,2.0,2.2,1.4,0.2,0.0,0.8,1.2,7.4
Jarrett Allen,C,21,BRK,61,57,26.0,4.2,6.5,.644,0.0,0.1,.000,4.2,6.5,.652,.644,2.3,3.7,.621,3.1,6.5,9.6,1.4,0.6,1.4,1.1,2.3,10.7
Kadeem Allen,SG,27,NYK,10,0,11.7,1.9,4.4,.432,0.5,1.6,.313,1.4,2.8,.500,.489,0.7,1.1,.636,0.2,0.7,0.9,2.1,0.5,0.2,0.8,0.7,5.0
Al-Farouq Aminu,PF,29,ORL,18,2,21.1,1.4,4.8,.291,0.5,2.0,.250,0.9,2.8,.320,.343,1.1,1.6,.655,1.3,3.5,4.8,1.2,1.0,0.4,0.9,1.5,4.3
Justin Anderson,SF,26,BRK,3,0,5.7,0.3,2.0,.167,0.0,1.0,.000,0.3,1.0,.333,.167,0.3,0.7,.500,0.0,0.7,0.7,0.0,0.0,0.3,0.0,0.7,1.0
Kyle Anderson,PF,26,MEM,56,17,18.9,2.3,4.8,.491,0.2,1.0,.232,2.1,3.8,.559,.515,0.7,1.1,.650,0.9,3.4,4.3,2.2,0.8,0.5,0.9,1.4,5.6
Ryan Anderson,PF,31,HOU,2,0,7.0,1.0,3.5,.286,0.5,2.5,.200,0.5,1.0,.500,.357,0.0,0.0,,0.0,3.5,3.5,1.0,0.5,0.0,0.5,0.5,2.5
